gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
980201664													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244359678	OBS244359678		obsr305809															PRESENT																												2009	04	28																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980176479													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244524648	OBS244524648		obsr305809															PRESENT																												2009	05	01																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980167836													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244539351	OBS244539351		obsr305809		2													PRESENT																												2009	05	06																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980095002													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244154073	OBS244154073		obsr305809															PRESENT																												2009	04	21																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980085639													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244155480	OBS244155480		obsr305809															PRESENT																												2009	04	23																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980081600													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS244154651	OBS244154651		obsr305809															PRESENT																												2009	04	22																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
980023660													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS242881664	OBS242881664		obsr305809															PRESENT																												2009	04	03																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
979739727													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS241578693	OBS241578693		obsr305809															PRESENT																												2009	03	23																Kazakhstan		Mangghystau oblysy			Aktau													43.637566	51.16453	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
978127936													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699070	OBS232699070		obsr92296															PRESENT																												2009	05	15																Kazakhstan		Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)													43.37311	80.05737	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
978105694													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232698933	OBS232698933		obsr92296															PRESENT																												2009	05	13																Kazakhstan		Aqmola oblysy			Korgalzhyn State Nature Reserve and vicinity													50.544853	69.4281	WGS84																																																				avibase-BBA263C2	Columba livia								Animalia	Chordata	Aves	Columbiformes		Columbidae				Columba				livia						Rock Pigeon				
