gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5008399537	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458964332/original.jpeg	https://www.inaturalist.org/photos/458964332					2023-09-20T00:51:33Z	Aleksey Levashkin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aleksey Levashkin
5007883619	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/456518511/original.jpg	https://www.inaturalist.org/photos/456518511					2024-12-11T07:31:49Z	ruslan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruslan
5007298004	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460919917/original.jpg	https://www.inaturalist.org/photos/460919917					2023-08-27T09:39:00Z	thrphys		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	thrphys
5007033968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460224743/original.jpg	https://www.inaturalist.org/photos/460224743					2024-04-22T21:31:57Z	Svetlana Kushkova		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Svetlana Kushkova
5006996833	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/456826912/original.jpg	https://www.inaturalist.org/photos/456826912					2024-12-12T07:38:15Z	ruslan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruslan
4994515772	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454163086/original.jpeg	https://www.inaturalist.org/photos/454163086					2024-11-30T07:47:35Z	Elmira Mustafa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elmira Mustafa
4982362693	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/450970632/original.jpeg	https://www.inaturalist.org/photos/450970632					2024-11-17T04:27:42Z	daisan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	daisan
4982187509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/450132618/original.jpeg	https://www.inaturalist.org/photos/450132618					2024-11-13T14:20:54Z	daisan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	daisan
4980706370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/449991387/original.jpeg	https://www.inaturalist.org/photos/449991387					2024-11-12T22:55:45Z	ruslan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruslan
4980566812	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/372634146/original.jpeg	https://www.inaturalist.org/photos/372634146					2024-04-28T20:36:25Z	Alexander Petrunin-Suharev		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alexander Petrunin-Suharev
4980566812	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/372633318/original.jpeg	https://www.inaturalist.org/photos/372633318					2024-04-28T20:36:10Z	Alexander Petrunin-Suharev		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alexander Petrunin-Suharev
4980459720	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/446336909/original.jpg	https://www.inaturalist.org/photos/446336909					2024-08-14T00:34:24Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
4980458024	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428211072/original.jpeg	https://www.inaturalist.org/photos/428211072					2024-09-07T17:38:39Z	kirinzi		iNaturalist	http://creativecommons.org/licenses/by/4.0/	kirinzi
4980431489	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/449318566/original.jpg	https://www.inaturalist.org/photos/449318566					2024-11-05T09:39:00Z	aidar_aitkulov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	aidar_aitkulov
4980323632	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/436412072/original.jpeg	https://www.inaturalist.org/photos/436412072					2024-09-25T14:15:34Z	Alex		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alex
4976350226	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/446234157/original.jpeg	https://www.inaturalist.org/photos/446234157					2024-10-04T23:27:25Z	kirinzi		iNaturalist	http://creativecommons.org/licenses/by/4.0/	kirinzi
4956621217	StillImage	image/jpeg	https://observation.org/photos/102652705.jpg							Jos van Oostveen			http://creativecommons.org/licenses/by-nc/4.0/	Jos van Oostveen
4953127612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/436937685/original.jpg	https://www.inaturalist.org/photos/436937685					2024-09-29T22:44:32Z	shtepbraiter		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shtepbraiter
4952877489	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/439048544/original.jpg	https://www.inaturalist.org/photos/439048544					2024-10-06T21:19:43Z	shtepbraiter		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shtepbraiter
4952461131	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/438445189/original.jpeg	https://www.inaturalist.org/photos/438445189					2024-10-04T08:30:45Z	ruslan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruslan
4946717462	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/431001792/original.jpeg	https://www.inaturalist.org/photos/431001792					2024-09-12T18:54:31Z	Наталья Савельева		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Наталья Савельева
4946106043	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428186998/original.jpeg	https://www.inaturalist.org/photos/428186998					2024-09-07T18:37:31Z	Наталья Савельева		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Наталья Савельева
4946106043	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428187077/original.jpeg	https://www.inaturalist.org/photos/428187077					2024-09-07T18:37:25Z	Наталья Савельева		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Наталья Савельева
4945841797	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428184057/original.jpeg	https://www.inaturalist.org/photos/428184057					2024-09-07T20:14:02Z	Наталья Савельева		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Наталья Савельева
4945841797	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428184161/original.jpeg	https://www.inaturalist.org/photos/428184161					2024-09-07T20:13:59Z	Наталья Савельева		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Наталья Савельева
4936171133	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/426287149/original.jpeg	https://www.inaturalist.org/photos/426287149					2024-09-02T09:03:35Z	ludq		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ludq
4931745520	StillImage	image/jpeg	https://observation.org/photos/95879476.jpg							Aafke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Aafke
4926307024	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/417018688/original.jpeg	https://www.inaturalist.org/photos/417018688					2024-08-06T21:11:34Z	kirinzi		iNaturalist	http://creativecommons.org/licenses/by/4.0/	kirinzi
4923860832	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/418650545/original.jpeg	https://www.inaturalist.org/photos/418650545					2024-08-04T05:46:44Z	ruslan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruslan
4923843304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/417669748/original.jpeg	https://www.inaturalist.org/photos/417669748					2024-08-04T03:29:43Z	Elmira Mustafa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elmira Mustafa
4921896857	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/413906033/original.jpeg	https://www.inaturalist.org/photos/413906033					2024-04-25T15:55:59Z	Yelena		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Yelena
