gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4193819120													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1578495429	OBS1578495429		obsr757212		1													PRESENT																												2022	12	10																Kazakhstan		Almaty oblysy			Lake Sorbulak													43.68119	76.58574	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4193784934													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1334604145	OBS1334604145		obsr983633		2													PRESENT																												2022	02	05																Kazakhstan		Atyrau oblysy			Atyrau--Ural River													47.105537	51.918896	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4193686615													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1545398842	OBS1545398842		obsr2822588		5													PRESENT																												2022	10	22																Kazakhstan		Almaty			Almaty--Botanical Garden													43.22413	76.913506	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4193667569													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1416289582	OBS1416289582		obsr282700		2													PRESENT																												2022	05	06																Kazakhstan		Almaty			Araltobe Lodge													45.03329	75.44124	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4193173055													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1319602887	OBS1319602887		obsr2912860		5													PRESENT																												2022	01	05																Kazakhstan		Batys Qazaqstan oblysy			Уральск													51	51	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4193095730													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1437788416	OBS1437788416		obsr1417083		5													PRESENT																												2022	05	15																Kazakhstan		Almaty			Ile River Delta--Zheltorangy Poplars; (IBA KZ094)													45.052	75.26894	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4192604141													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1418319336	OBS1418319336		obsr1092180		1													PRESENT																												2022	05	07																Kazakhstan		Almaty			Big Almaty Channel													43.505486	78.28591	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4192196945													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1437518729	OBS1437518729		obsr1461668		1													PRESENT																												2022	05	21																Kazakhstan		Almaty			Ile River Delta--Zheltorangy Poplars; (IBA KZ094)													45.052	75.26894	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4191782129													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1437747000	OBS1437747000		obsr1417083		1													PRESENT																												2022	05	16																Kazakhstan		Almaty			Нeizvestnaya doroga, Shelek, Almatı oblısı, KZ (43.63, 78.232)													43.630238	78.231544	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4190155828													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1446588868	OBS1446588868		obsr1528856		2													PRESENT																												2022	05	29																Kazakhstan		Ongtüstik Qazaqstan oblysy			South Kazakhstan Province, KZ (43,183, 69,917)													43.182835	69.91678	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
