gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5007897767	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/462351857/original.jpg	https://www.inaturalist.org/photos/462351857					2024-08-14T17:47:41Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
5006752034	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/380034404/original.jpeg	https://www.inaturalist.org/photos/380034404					2024-04-07T17:04:36Z	Olga Sivokon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Olga Sivokon
4976427247	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/445729878/original.jpg	https://www.inaturalist.org/photos/445729878					2024-08-10T20:52:22Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
4976357818	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/445632363/original.jpg	https://www.inaturalist.org/photos/445632363					2024-08-07T04:37:56Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
4976304296	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/445632366/original.jpg	https://www.inaturalist.org/photos/445632366					2024-08-07T04:34:25Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
4957129142	StillImage	image/jpeg	https://observation.org/photos/105768830.jpg							Knuschen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Knuschen
4952940796	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/435727398/original.jpeg	https://www.inaturalist.org/photos/435727398					2024-09-15T00:48:10Z	Olga Sivokon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Olga Sivokon
4950374012	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/435017944/original.jpg	https://www.inaturalist.org/photos/435017944					2024-09-14T02:42:00Z	kirinzi		iNaturalist	http://creativecommons.org/licenses/by/4.0/	kirinzi
4946506348	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/427476648/original.jpeg	https://www.inaturalist.org/photos/427476648					2024-07-12T08:09:00Z	Anastassiya		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anastassiya
4946221720	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/428196681/original.jpg	https://www.inaturalist.org/photos/428196681					2024-08-04T01:18:57Z	Бобаченко Елена		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Бобаченко Елена
