gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
986124395				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS140172598	OBS140172598		obsr159825															PRESENT																							2001-09-09		252	252	2001	9	9												ASIA				KZ	Zhambyl oblysy			Lakes near Aspara									43.032955	73.49264																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T09:49:58.930Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T09:49:58.930Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.14_1	Zhambyl	KAZ.14.4_1	Merkenskiy			LC
978665119				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS235267827	OBS235267827		obsr172418		3													PRESENT																							2012-06-29		181	181	2012	6	29												ASIA				KZ	Almaty oblysy			Road to Big Almaty Gorge									43.116272	76.9146																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T08:47:03.511Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T08:47:03.511Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.1_1	Almaty	KAZ.1.7_1	Karasayskiy			LC
978128399				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS232698812	OBS232698812		obsr92296															PRESENT																							2009-05-12		132	132	2009	5	12												ASIA				KZ	Aqmola oblysy			Korgalzhyn State Nature Reserve and vicinity									50.544853	69.4281																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T08:23:24.053Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T08:23:24.053Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.2_1	Aqmola	KAZ.2.10_1	Korgalzhynskiy			LC
978117766				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS232699000	OBS232699000		obsr92296															PRESENT																							2009-05-14		134	134	2009	5	14												ASIA				KZ	Almaty oblysy			Tien Shan Mountains									43.154854	77.05639																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T09:51:44.533Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T09:51:44.533Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.1_1	Almaty	KAZ.1.15_1	Talgarskiy			LC
978112087				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS232699072	OBS232699072		obsr92296															PRESENT																							2009-05-15		135	135	2009	5	15												ASIA				KZ	Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)									43.37311	80.05737																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T08:25:33.593Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T08:25:33.593Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.1_1	Almaty	KAZ.1.16_1	Uygurskiy			LC
968452578				CC_BY_4_0									CLO	EBIRD_TX			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD_TX:OBS213975826	OBS213975826		obsr317743		1													PRESENT																							2007-09-02		245	245	2007	9	2												ASIA				KZ	Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)									46.272892	53.39828																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T09:50:55.939Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T09:50:55.939Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.4_1	Atyrau	KAZ.4.8_1	Zhylyoyskiy			LC
968312542				CC_BY_4_0									CLO	EBIRD_TX			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD_TX:OBS213942646	OBS213942646		obsr317743		12													PRESENT																							2006-09-19		262	262	2006	9	19												ASIA				KZ	Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)									46.305832	53.441387																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T08:24:37.795Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T08:24:37.795Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.4_1	Atyrau	KAZ.4.8_1	Zhylyoyskiy			LC
968288693				CC_BY_4_0									CLO	EBIRD_TX			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD_TX:OBS222047542	OBS222047542		obsr317743		8													PRESENT																							2006-09-14		257	257	2006	9	14												ASIA				KZ	Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)									46.305832	53.441387																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T09:06:36.393Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T09:06:36.393Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.4_1	Atyrau	KAZ.4.8_1	Zhylyoyskiy			LC
968275062				CC_BY_4_0									CLO	EBIRD_TX			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD_TX:OBS222048742	OBS222048742		obsr317743		1													PRESENT																							2006-10-01		274	274	2006	10	1												ASIA				KZ	Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)									46.272892	53.39828																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T09:07:22.497Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T09:07:22.497Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.4_1	Atyrau	KAZ.4.8_1	Zhylyoyskiy			LC
962916886				CC_BY_4_0									CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS208203013	OBS208203013		obsr26000		7													PRESENT																							2013-08-20		232	232	2013	8	20												ASIA				KZ	Pavlodar oblysy			Kurchatov--General Area									50.753517	78.546684																																																	avibase-06D9A2C8	Milvus migrans (Boddaert, 1783)								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus	Milvus			migrans			SPECIES		Black Kite		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	KZ	2024-04-17T08:45:27.540Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED		true	false	5229167	5229167	1	44	212	7191147	2877	5229166		5229167	Milvus migrans	Milvus migrans (Boddaert, 1783)	Milvus migrans		DWC_ARCHIVE	2024-04-17T08:45:27.540Z	2024-04-15T22:36:22.136Z	false			false	EUROPE	EUROPE	KAZ	Kazakhstan	KAZ.8_1	Pavlodar	KAZ.8.8_1	Mayskiy			LC
