gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
986124395													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS140172598	OBS140172598		obsr159825															PRESENT																												2001	09	09																Kazakhstan		Zhambyl oblysy			Lakes near Aspara													43.032955	73.49264	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
978665119													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235267827	OBS235267827		obsr172418		3													PRESENT																												2012	06	29																Kazakhstan		Almaty oblysy			Road to Big Almaty Gorge													43.116272	76.9146	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
978128399													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232698812	OBS232698812		obsr92296															PRESENT																												2009	05	12																Kazakhstan		Aqmola oblysy			Korgalzhyn State Nature Reserve and vicinity													50.544853	69.4281	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
978117766													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699000	OBS232699000		obsr92296															PRESENT																												2009	05	14																Kazakhstan		Almaty oblysy			Tien Shan Mountains													43.154854	77.05639	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
978112087													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699072	OBS232699072		obsr92296															PRESENT																												2009	05	15																Kazakhstan		Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)													43.37311	80.05737	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
968452578													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213975826	OBS213975826		obsr317743		1													PRESENT																												2007	09	02																Kazakhstan		Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)													46.272892	53.39828	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
968312542													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213942646	OBS213942646		obsr317743		12													PRESENT																												2006	09	19																Kazakhstan		Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)													46.305832	53.441387	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
968288693													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS222047542	OBS222047542		obsr317743		8													PRESENT																												2006	09	14																Kazakhstan		Atyrau oblysy			Tengiz--TCOV (Formerly, Hungarian Camp) (restricted access)													46.305832	53.441387	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
968275062													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS222048742	OBS222048742		obsr317743		1													PRESENT																												2006	10	01																Kazakhstan		Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)													46.272892	53.39828	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
962916886													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS208203013	OBS208203013		obsr26000		7													PRESENT																												2013	08	20																Kazakhstan		Pavlodar oblysy			Kurchatov--General Area													50.753517	78.546684	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
962901296													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS208202788	OBS208202788		obsr26000		1													PRESENT																												2013	08	20																Kazakhstan		Pavlodar oblysy			Kurchatov--Irtysh River Walk													50.756638	78.551834	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
962748394													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS207957917	OBS207957917		obsr26000		4													PRESENT																												2013	08	18																Kazakhstan		Pavlodar oblysy			Pavlodar--General Area													52.275795	76.95339	WGS84																																																				avibase-06D9A2C8	Milvus migrans								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Milvus				migrans						Black Kite				
