gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
978702384													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235256749	OBS235256749		obsr172418															PRESENT																												2012	06	28																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
978655441													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235266264	OBS235266264		obsr172418		20													PRESENT																												2012	06	29																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
978112530													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699039	OBS232699039		obsr92296															PRESENT																												2009	05	15																Kazakhstan		Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)													43.37311	80.05737	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
960539951													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS205664116	OBS205664116		obsr26000		2													PRESENT																												2013	07	24																Kazakhstan		Almaty			Almaty--General Area													43.222374	76.85197	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959821239													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204691187	OBS204691187		obsr305809		3													PRESENT																												2010	05	29																Kazakhstan		Shyghys Qazaqstan oblysy			Aktogay Village--General Area													46.946865	79.676414	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959573765													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204572306	OBS204572306		obsr305809															PRESENT																												2010	06	19																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959562954													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204563598	OBS204563598		obsr305809		1													PRESENT																												2010	06	05																Kazakhstan		Almaty oblysy			Lake Sasykol--General Area													46.68248	80.58532	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959562276													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204572487	OBS204572487		obsr305809															PRESENT																												2010	06	20																Kazakhstan		Almaty			Almaty--General Area													43.222374	76.85197	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959556182													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204570523	OBS204570523		obsr305809															PRESENT																												2010	06	18																Kazakhstan		Almaty oblysy			Ile-Alatau NP--General Area													43.046875	76.961754	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
959548618													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS204569856	OBS204569856		obsr305809		2													PRESENT																												2010	06	17																Kazakhstan		Almaty oblysy			East Balkash													46.636707	79.3412	WGS84																																																				avibase-F23A2F38	Acridotheres tristis								Animalia	Chordata	Aves	Passeriformes		Sturnidae				Acridotheres				tristis						Common Myna				
