gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5007765833	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460674629/original.jpg	https://www.inaturalist.org/photos/460674629					2024-12-31T17:36:00Z	nkanunnikov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nkanunnikov
5006861451	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458831372/original.jpeg	https://www.inaturalist.org/photos/458831372					2024-05-31T22:28:36Z	luisa17860		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	luisa17860
4987381654	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396902955/original.jpeg	https://www.inaturalist.org/photos/396902955					2024-06-03T01:26:19Z	Ангелина Турлыбекова		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ангелина Турлыбекова
4919697408	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/412452124/original.jpeg	https://www.inaturalist.org/photos/412452124					2024-07-28T02:36:36Z	kisology		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kisology
4919630327	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/410903541/original.jpeg	https://www.inaturalist.org/photos/410903541					2024-07-07T21:20:31Z	timofey_bannikov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	timofey_bannikov
4919630327	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/410903791/original.jpeg	https://www.inaturalist.org/photos/410903791					2024-07-07T21:20:28Z	timofey_bannikov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	timofey_bannikov
4908279229	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/372989432/original.jpg	https://www.inaturalist.org/photos/372989432					2024-04-28T21:00:57Z	Genriyetta Pulikova		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Genriyetta Pulikova
4908279229	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/372989408/original.jpg	https://www.inaturalist.org/photos/372989408					2024-04-28T21:12:31Z	Genriyetta Pulikova		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Genriyetta Pulikova
4908279229	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/372989413/original.jpg	https://www.inaturalist.org/photos/372989413					2024-04-28T21:02:36Z	Genriyetta Pulikova		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Genriyetta Pulikova
4901760900	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396901722/original.jpeg	https://www.inaturalist.org/photos/396901722					2024-06-03T01:04:37Z	Ангелина Турлыбекова		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ангелина Турлыбекова
