gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
979756910													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS242064624	OBS242064624		obsr305809		1													PRESENT																												2009	03	27																Kazakhstan		Mangghystau oblysy			Kenderli Resort													42.784756	52.631165	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
976754866													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS223750311	OBS223750311		obsr103121															PRESENT																												2000	02	13																Kazakhstan		Almaty oblysy			Tanbaly-Tas Petroglyph Site													43.806534	75.538956	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
948659039													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS192439720	OBS192439720		obsr341497		3													PRESENT																												2008	05	10																Kazakhstan		Qaraghandy oblysy			Bereznyaki													50.00079	72.68246	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
845396087													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS164398074	OBS164398074		obsr293781		10													PRESENT																												2009	05	24																Kazakhstan		Aqmola oblysy			Kazakhstan-- Astana													51.172474	71.43137	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
845192149													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS169814592	OBS169814592		obsr325169		2													PRESENT																												2003	06	05																Kazakhstan		Aqmola oblysy			Lake Damsa													51.671375	71.06406	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
602947465													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS97190906	OBS97190906		obsr190359		2													PRESENT																												2003	06	05																Kazakhstan		Aqmola oblysy			Shortandy Woodlot													51.588055	71.10429	WGS84																																																				avibase-D120D5A0	Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus				pilaris						Fieldfare				
5007765833				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-31T13:39:56Z		https://www.inaturalist.org/observations/256879618	nkanunnikov					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/256879618	256879618		nkanunnikov																																							2024-12-31T09:36:00+05:00	09:36:00+05:00						2024/12/31 09:36																KZ	Almaty				Жамбылский район, Казахстан												43.6559549833	76.5263166667	EPSG:4326																																			578881164				nkanunnikov		2024-12-31T13:36:13Z				12707								Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus							species							
5006861451				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-23T10:15:35Z		https://www.inaturalist.org/observations/255972194	luisa17860					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/255972194	255972194		luisa17860																																							2024-05-31T15:28:36+05:00	15:28:36+05:00						2024-05-31 15:28:36																KZ	Aqmola				Esil District, Astana, Kazakistan												51.1567812081	71.4127076045	EPSG:4326	336																																		576441810				luisa17860		2024-12-23T10:03:24Z				12707								Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus							species							
4987381654				http://creativecommons.org/licenses/by-nc/4.0/	2024-11-22T04:49:08Z		https://www.inaturalist.org/observations/223972385	Ангелина Турлыбекова					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/223972385	223972385		Ангелина Турлыбекова																																							2024-06-02T18:26:19+05:00	18:26:19+05:00						2024-06-02 18:26:19																KZ	Qaraghandy				R34G+QFW Центральный парк Караганды, Караганда 100000, Казахстан												49.8051238528	73.0733926222	EPSG:4326	119																																		503478812				Ангелина Турлыбекова		2024-06-20T13:48:49Z				12707								Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus							species							
4950520030				http://creativecommons.org/licenses/by-nc/4.0/	2024-09-25T07:38:09Z		https://www.inaturalist.org/observations/243139627	Frank Severson					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/243139627	243139627		Frank Severson																																							2024-05-28T14:03:00+05:00	14:03:00+05:00						2024/05/28 2:03 PM																KZ	East Kazakhstan				East Kazakhstan Region, 070000, Kazakhstan												48.9131152	84.5574499	EPSG:4326	305778																																		543285597				Frank Severson		2024-09-21T17:48:52Z				12707								Turdus pilaris								Animalia	Chordata	Aves	Passeriformes		Turdidae				Turdus							species							
