gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
986124558													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS140172571	OBS140172571		obsr159825															PRESENT																												2001	09	09																Kazakhstan		Zhambyl oblysy			Lakes near Aspara													43.032955	73.49264	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978682458													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235256776	OBS235256776		obsr172418		4													PRESENT																												2012	06	28																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978655776													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS235266244	OBS235266244		obsr172418		8													PRESENT																												2012	06	29																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978183940													CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS232841138	OBS232841138		obsr171139															PRESENT																												1997	08	22																Kazakhstan		Zhambyl oblysy			Bishkek to Lake Issyk-Kul drive													42.83972	75.47058	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978113880													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232699075	OBS232699075		obsr92296															PRESENT																												2009	05	15																Kazakhstan		Almaty oblysy			East of Almaty (including Charyn Canyon and a couple oasis)													43.37311	80.05737	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978106371													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232698948	OBS232698948		obsr92296															PRESENT																												2009	05	13																Kazakhstan		Aqmola oblysy			Korgalzhyn State Nature Reserve and vicinity													50.544853	69.4281	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
978105094													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232698811	OBS232698811		obsr92296															PRESENT																												2009	05	12																Kazakhstan		Aqmola oblysy			Korgalzhyn State Nature Reserve and vicinity													50.544853	69.4281	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
968304734													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS213999504	OBS213999504		obsr405830		1													PRESENT																												2010	03	17																Kazakhstan		Pavlodar oblysy			KZ-PAV-Kurchatov													50.756386	78.550354	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
968281935													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213954283	OBS213954283		obsr317743		1													PRESENT																												2007	03	25																Kazakhstan		Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)													46.272892	53.39828	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
968281711													CLO	EBIRD_TX			HumanObservation				URN:catalog:CLO:EBIRD_TX:OBS213950709	OBS213950709		obsr317743		3													PRESENT																												2007	03	11																Kazakhstan		Mangghystau oblysy			Tengiz--South Evaporation Ponds (restricted access)													46.272892	53.39828	WGS84																																																				avibase-FBBBA943	Pica pica								Animalia	Chordata	Aves	Passeriformes		Corvidae				Pica				pica						Eurasian Magpie				
